language_cat,corpus,information_density,semantic_density
arn,Bible_NT,-107.85083,106.0728
arl,Bible_NT,-130.72142,104.96489
ara,Bible_NT,-85.422493,251.0531
apz,Bible_NT,-138.78714,79.343239
apy,Bible_NT,-116.23454,92.357414
apw,Bible_NT,-91.843407,148.37639
apu,Bible_NT,-101.92739,138.79295
apt,Bible_NT,-100.41372,120.49511
apr,Bible_NT,-175.44136,49.952118
apn,Bible_NT,-217.48134,51.696461
ape,Bible_NT,-158.49178,74.950661
apb,Bible_NT,-147.15646,50.735008
aom,Bible_NT,-141.79469,85.27359
aoj,Bible_NT,-132.3896,82.851959
anv,Bible_NT,-127.38869,86.915016
amu,Bible_NT,-114.72106,96.133331
amr,Bible_NT,-105.99179,136.28925
amp,Bible_NT,-150.26231,94.487915
amn,Bible_NT,-121.87936,109.00465
amm,Bible_NT,-131.79868,72.565659
amk,Bible_NT,-133.57451,80.245354
amh,Bible_NT,-77.554039,247.17755
ame,Bible_NT,-142.79874,99.291313
alq,Bible_NT,-118.54471,99.922943
ald,Bible_NT,-116.32811,91.579948
cap,Bible_NT,-113.12826,131.08539
agu,Bible_NT,-137.86069,58.169983
car,Bible_NT,-94.818977,111.48388
esi,Bible_NT,-75.783257,288.87128
eri,Bible_NT,-138.00061,57.797531
eng,Bible_NT,-100.39949,98.896675
emp,Bible_NT,-100.08108,107.41881
ell,Bible_NT,-106.24093,115.38413
ebk,Bible_NT,-115.08587,110.55696
dyi,Bible_NT,-132.83897,51.394352
dww,Bible_NT,-113.39079,76.808098
dwr,Bible_NT,-89.491974,172.23088
dur,Bible_NT,-110.20102,63.742035
duo,Bible_NT,-129.63042,92.530106
due,Bible_NT,-118.01218,79.84568
esk,Bible_NT,-74.971329,311.19202
dow,Bible_NT,-108.28416,110.78827
dob,Bible_NT,-100.53989,106.8836
djr,Bible_NT,-176.52602,85.142082
djk,Bible_NT,-144.46704,51.71154
dis,Bible_NT,-106.63543,92.615257
din,Bible_NT,-104.01135,83.179611
dik,Bible_NT,-106.58398,72.625214
dhm,Bible_NT,-100.84161,110.79648
dgz,Bible_NT,-125.19717,66.666359
dgr,Bible_NT,-97.142326,103.90639
dgc,Bible_NT,-114.91933,88.596893
deu,Bible_NT,-113.10107,110.72546
des,Bible_NT,-128.18002,92.801727
dop,Bible_NT,-115.90382,86.275772
est,Bible_NT,-79.658348,176.49133
etu,Bible_NT,-126.21675,51.338428
eus,Bible_NT,-89.478851,181.43979
gle,Bible_NT,-112.52002,96.628181
caq,Bible_NT,-94.189278,108.82993
gkp,Bible_NT,-116.15432,78.982094
giz,Bible_NT,-113.71043,82.660294
gid,Bible_NT,-99.038414,120.135
gfk,Bible_NT,-138.13766,46.416904
geb,Bible_NT,-154.67111,60.451557
gdr,Bible_NT,-154.49312,53.309967
gdn,Bible_NT,-155.90881,59.442284
gdg,Bible_NT,-101.46572,135.9478
gbr,Bible_NT,-106.34945,122.34304
gbi,Bible_NT,-146.54567,82.963043
gaw,Bible_NT,-132.7076,71.614113
gam,Bible_NT,-119.6614,51.464523
gah,Bible_NT,-131.00548,89.195282
fuv,Bible_NT,-94.437126,101.68491
fuq,Bible_NT,-93.864716,103.49617
fuh,Bible_NT,-95.991356,107.32471
fub,Bible_NT,-89.508049,115.73611
fra,Bible_NT,-110.35122,91.308228
for,Bible_NT,-109.82862,147.57962
fon,Bible_NT,-130.5407,58.647823
fin,Bible_NT,-91.578072,188.27437
ffm,Bible_NT,-94.623512,106.02603
fai,Bible_NT,-150.50534,65.503014
faa,Bible_NT,-138.68443,72.489975
ewe,Bible_NT,-126.81441,97.283989
ded,Bible_NT,-101.80179,133.18669
dan,Bible_NT,-111.77217,106.2476
ghs,Bible_NT,-109.52416,106.77596
daa,Bible_NT,-117.71629,92.15213
cmo,Bible_NT,-143.98386,53.022079
cme,Bible_NT,-109.1066,93.35009
clu,Bible_NT,-114.67907,91.832344
cle,Bible_NT,-113.82839,78.963707
ckz,Bible_NT,-157.64258,57.347797
cjv,Bible_NT,-152.40201,46.935043
cjp,Bible_NT,-109.46176,93.274437
cjo,Bible_NT,-98.536613,186.8909
chz,Bible_NT,-112.92576,67.004906
chr,Bible_NT,-80.602844,205.49454
chq,Bible_NT,-108.17355,105.45242
chf,Bible_NT,-130.76596,73.724144
cgc,Bible_NT,-140.85823,73.205101
ces,Bible_NT,-91.698929,167.39333
cco,Bible_NT,-162.43785,64.990158
cbv,Bible_NT,-151.29384,62.286594
zul,Bible_NT,-75.00959,236.99692
cbt,Bible_NT,-100.4908,144.26306
cbs,Bible_NT,-128.83243,104.62728
cbr,Bible_NT,-137.77802,94.042496
cbk,Bible_NT,-139.04439,51.176086
dad,Bible_NT,-106.30123,74.829567
cbi,Bible_NT,-121.96404,102.42769
cbc,Bible_NT,-155.55022,77.621231
cax,Bible_NT,-96.660126,103.4813
cav,Bible_NT,-146.64633,80.342361
cat,Bible_NT,-102.03054,116.8764
cni,Bible_NT,-85.015999,196.88969
cnl,Bible_NT,-116.55823,69.441071
cnh,Bible_NT,-124.71098,68.928284
coe,Bible_NT,-118.11569,115.089
cya,Bible_NT,-110.88137,52.071953
cwe,Bible_NT,-92.575691,117.0111
cux,Bible_NT,-133.03209,73.869011
cut,Bible_NT,-110.93337,61.839264
cul,Bible_NT,-145.27916,82.740883
cuk,Bible_NT,-92.540604,203.50325
cui,Bible_NT,-173.46284,67.500244
cuc,Bible_NT,-94.351212,105.13319
cub,Bible_NT,-139.12172,88.893295
ctu,Bible_NT,-118.34127,71.770752
ctp,Bible_NT,-165.38536,53.675194
cta,Bible_NT,-163.63168,53.894489
cso,Bible_NT,-135.85326,60.290138
cnt,Bible_NT,-105.366,98.038246
csk,Bible_NT,-108.1152,107.00084
crt,Bible_NT,-129.83398,98.317177
crn,Bible_NT,-158.02191,60.921299
cre,Bible_NT,-89.820847,158.98044
cpu,Bible_NT,-82.599518,213.5173
cpc,Bible_NT,-79.227348,220.88576
cpb,Bible_NT,-78.230591,224.61772
cpa,Bible_NT,-98.569466,95.037697
cot,Bible_NT,-95.791222,200.2258
crx,Bible_NT,-117.37164,95.998558
cor,Bible_NT,-97.207214,105.50327
cop,Bible_NT,-84.483406,192.55757
con,Bible_NT,-97.768364,137.94766
cof,Bible_NT,-119.55502,102.9362
fin,ECB,-92.437172,110.46925
nld,ECB,-104.5594,105.37382
por,ECB,-113.41492,101.68418
pol,ECB,-104.89175,106.36401
spa,ECB,-114.32086,103.09467
ita,ECB,-115.52464,102.05641
est,ECB,-88.125198,109.89761
lit,ECB,-97.697952,107.67165
dan,ECB,-96.68708,104.11143
slv,ECB,-102.5547,104.71864
lav,ECB,-92.713425,111.76554
deu,ECB,-100.36983,104.12651
slk,ECB,-103.24612,104.87225
mlt,ECB,-107.21732,105.48882
fra,ECB,-118.87255,100.08278
eng,ECB,-100,100
ces,ECB,-101.4473,105.87491
hun,ECB,-97.464218,116.08286
ell,ECB,-121.38306,108.45451
pol,EMA,-109.21005,100.88701
ell,EMA,-112.99825,102.38736
slk,EMA,-107.66367,102.29042
swe,EMA,-95.656982,102.24523
slv,EMA,-109.13167,102.09448
deu,EMA,-95.578842,103.84575
fin,EMA,-91.994492,106.32063
lit,EMA,-97.36525,102.54346
por,EMA,-111.80038,99.277725
dan,EMA,-94.078789,103.15659
spa,EMA,-110.93592,100.44481
eng,EMA,-100,100
ces,EMA,-108.26941,101.7501
hun,EMA,-101.62437,102.36706
fra,EMA,-116.63918,99.220825
ita,EMA,-115.11697,99.49408
est,EMA,-94.317917,104.47765
mlt,EMA,-120.25238,99.018127
nld,EMA,-102.00974,103.48981
lav,EMA,-100.06587,102.28539
bul,EMA,-103.99036,101.80813
ron,EMA,-110.21959,100.24744
slk,EU_Bookshop,-105.40543,102.04674
swe,EU_Bookshop,-99.365784,103.23008
nld,EU_Bookshop,-104.90222,102.54229
por,EU_Bookshop,-111.18647,99.001694
ell,EU_Bookshop,-86.068024,101.71149
mlt,EU_Bookshop,-101.64936,104.02149
hun,EU_Bookshop,-99.86142,106.36135
spa,EU_Bookshop,-112.42493,99.611786
pol,EU_Bookshop,-106.5203,100.742
deu,EU_Bookshop,-95.754189,102.34229
fra,EU_Bookshop,-112.37482,98.329422
ron,EU_Bookshop,-113.41161,98.228729
gle,EU_Bookshop,-115.1439,98.708763
lit,EU_Bookshop,-99.255661,102.79784
eng,EU_Bookshop,-100,100
bul,EU_Bookshop,-92.831795,102.8534
ita,EU_Bookshop,-110.80845,98.556793
fin,EU_Bookshop,-91.054573,104.27988
lav,EU_Bookshop,-98.848907,104.74251
dan,EU_Bookshop,-100.42592,102.55779
slv,EU_Bookshop,-104.45825,101.23803
ces,EU_Bookshop,-103.47188,101.91093
est,EU_Bookshop,-92.551857,107.29006
fra,EU_DGT,-114.0758,96.727188
slv,EU_DGT,-102.86845,99.376953
hun,EU_DGT,-101.30984,98.55555
deu,EU_DGT,-100.51504,100.93657
por,EU_DGT,-110.88499,96.960045
lit,EU_DGT,-99.945961,99.14257
ell,EU_DGT,-115.28929,99.161835
spa,EU_DGT,-112.27149,98.103943
fin,EU_DGT,-92.554474,100.62048
eng,EU_DGT,-100,100
ita,EU_DGT,-110.80312,96.366982
ron,EU_DGT,-111.96895,97.314865
bul,EU_DGT,-108.81837,99.402542
est,EU_DGT,-91.471085,101.18324
bos,EU_DGT,-104.15277,101.44114
mlt,EU_DGT,-103.13279,99.291245
lav,EU_DGT,-97.626457,100.67517
swe,EU_DGT,-96.976624,100.38482
slk,EU_DGT,-106.10128,98.657303
pol,EU_DGT,-107.68503,98.250168
dan,EU_DGT,-96.785988,100.50092
nld,EU_DGT,-102.58349,101.77438
ces,EU_DGT,-104.61333,98.692795
deu,EU_JRC,-98.095428,102.16584
nld,EU_JRC,-102.50684,101.2377
ces,EU_JRC,-101.64513,98.396118
ita,EU_JRC,-109.21015,97.083786
pol,EU_JRC,-104.88694,97.938568
por,EU_JRC,-110.3952,97.318298
eng,EU_JRC,-100,100
ron,EU_JRC,-105.39455,98.541451
swe,EU_JRC,-95.807655,101.83016
lav,EU_JRC,-94.484039,101.73858
spa,EU_JRC,-112.83898,98.22403
est,EU_JRC,-86.817802,104.72478
hun,EU_JRC,-96.890236,102.01048
dan,EU_JRC,-96.680275,101.92474
fra,EU_JRC,-111.79274,97.045235
lit,EU_JRC,-95.701775,100.82758
ron,EuroParl,-110.37668,99.123024
bul,EuroParl,-103.55792,99.220963
est,EuroParl,-91.617149,103.87367
ita,EuroParl,-106.94106,98.96524
deu,EuroParl,-103.10555,100.95832
fin,EuroParl,-90.230812,103.18403
lit,EuroParl,-93.939781,100.7249
swe,EuroParl,-97.945976,102.11829
slv,EuroParl,-98.706253,99.89621
ell,EuroParl,-111.53601,99.047935
ces,EuroParl,-101.88915,100.23647
por,EuroParl,-107.82306,99.697746
hun,EuroParl,-100.1071,102.51128
fra,EuroParl,-110.37399,98.691849
pol,EuroParl,-103.37582,99.320908
spa,EuroParl,-107.16283,99.887596
nld,EuroParl,-103.83138,100.65218
dan,EuroParl,-97.533958,101.7549
lav,EuroParl,-94.598137,99.989273
eng,EuroParl,-100,100
slk,EuroParl,-102.32709,99.506073
eng,GNOME,-100,100
guj,GNOME,-116.84554,99.58046
eus,GNOME,-99.62043,111.72158
zsm,GNOME,-94.471359,95.933784
ita,GNOME,-110.66032,98.430328
nep,GNOME,-108.32449,103.69444
ben,GNOME,-115.14241,96.748703
fra,GNOME,-117.43839,95.922348
nob,GNOME,-101.20866,104.50523
nld,GNOME,-102.11921,106.3584
hun,KDE,-112.46335,107.39964
xho,KDE,-106.56524,101.85956
tam,KDE,-110.96805,108.76859
kor,KDE,-106.06655,105.00669
cym,KDE,-111.16948,91.818504
pan,KDE,-113.78375,90.433037
ces,KDE,-111.53846,102.86803
ita,KDE,-115.96159,98.502571
isl,KDE,-106.55663,101.58345
pes,KDE,-121.79609,91.409447
gle,KDE,-119.51769,92.429123
bos,KDE,-117.3651,101.15131
rus,KDE,-106.34023,102.38841
eng,KDE,-100,100
tgk,KDE,-121.49925,99.993813
cmn,KDE,-129.48337,93.550484
deu,KDE,-105.81836,105.57563
heb,KDE,-112.88552,102.53903
arb,KDE,-111.95618,104.59433
ron,KDE,-117.48995,97.624855
cat,KDE,-126.02438,96.391022
fra,KDE,-121.94031,98.119919
est,KDE,-96.838631,109.90759
lit,KDE,-112.40884,103.5003
swe,KDE,-105.66867,103.76313
khm,KDE,-65.326797,125.71817
por,KDE,-118.41471,98.369484
bre,KDE,-107.83611,87.286705
jpn,KDE,-130.32733,94.779282
afr,KDE,-105.28823,91.48307
pol,KDE,-111.2908,101.63302
zsm,KDE,-100.64553,92.516319
hin,KDE,-122.88837,90.956825
epo,KDE,-106.41481,99.454514
glg,KDE,-121.19956,98.395248
slv,KDE,-116.32497,103.15843
kaz,KDE,-108.86071,107.19286
bel,KDE,-101.47528,101.60272
nob,KDE,-113.72419,95.787468
fin,KDE,-103.99527,111.28737
ukr,KDE,-119.13802,99.277672
ell,KDE,-124.4903,94.439018
spa,KDE,-117.145,99.635002
dan,KDE,-107.8884,104.36967
nep,KDE,-115.14169,96.727226
nld,KDE,-107.05637,105.00189
mkd,KDE,-119.1179,95.80471
eus,KDE,-114.27255,104.35255
lav,KDE,-109.78969,107.18562
bul,KDE,-111.76398,97.216713
slk,KDE,-113.84274,102.53128
tur,KDE,-113.7528,109.6389
hne,KDE,-124.38104,90.499413
nds,KDE,-112.48918,99.601662
ces,News11,-105.92962,101.86718
arb,News11,-153.52991,94.399788
rus,News11,-107.85651,99.065239
fra,News11,-114.61671,93.224319
deu,News11,-107.08881,99.213623
cmn,News11,-132.53516,95.3396
spa,News11,-111.60471,94.268951
eng,News11,-100,100
eng,News9,-100,100
fra,News9,-116.40135,97.722374
rus,News9,-109.25933,104.30088
cmn,News9,-137.16248,98.534554
arb,News9,-123.62679,101.12794
deu,News9,-109.24772,104.65269
ces,News9,-108.48123,107.57937
spa,News9,-113.80532,99.485649
est,ParaCrawl,-97.019745,102.1055
lav,ParaCrawl,-95.858871,110.00397
fra,ParaCrawl,-111.86907,97.782471
ita,ParaCrawl,-106.57946,99.520836
spa,ParaCrawl,-106.6842,100.08029
deu,ParaCrawl,-102.69014,103.51932
por,ParaCrawl,-105.18227,99.56382
pol,ParaCrawl,-102.16182,101.24142
ces,ParaCrawl,-104.15569,92.990585
ron,ParaCrawl,-104.15832,101.56316
nld,ParaCrawl,-103.00882,102.25452
fin,ParaCrawl,-90.868393,112.63131
rus,ParaCrawl,-98.918625,104.07259
eng,ParaCrawl,-100,100
ces,Subs16,-97.616905,106.79826
nld,Subs16,-92.170059,103.80462
ell,Subs16,-96.949532,106.6153
fra,Subs16,-97.944534,99.274384
ind,Subs16,-89.379982,104.40088
sin,Subs16,-104.55441,107.63877
ben,Subs16,-105.53232,109.62951
arb,Subs16,-107.22974,115.20421
por,Subs16,-94.785088,100.3709
kat,Subs16,-94.311928,109.67909
ita,Subs16,-101.12888,100.08292
est,Subs16,-94.060097,106.57407
heb,Subs16,-94.850327,109.38371
rus,Subs16,-99.706001,108.04223
nob,Subs16,-85.878922,104.82646
zsm,Subs16,-90.177742,102.63442
cat,Subs16,-100.18938,99.126762
kor,Subs16,-97.461998,123.15968
bos,Subs16,-95.980858,108.15858
pol,Subs16,-90.435143,110.24471
deu,Subs16,-100.77484,101.18897
eus,Subs16,-88.614738,104.69745
slv,Subs16,-88.590073,106.77283
fin,Subs16,-78.340607,116.06975
pes,Subs16,-113.5565,102.16103
glg,Subs16,-96.894646,104.07884
cmn,Subs16,-110.5033,110.17178
tur,Subs16,-92.777496,115.95721
dan,Subs16,-87.168831,105.07537
jpn,Subs16,-104.78053,102.32333
eng,Subs16,-100,100
ron,Subs16,-102.27682,102.43415
lav,Subs16,-91.153496,111.15137
slk,Subs16,-98.701447,105.98506
lit,Subs16,-90.070366,109.7434
aln,Subs16,-102.49978,104.12633
bul,Subs16,-92.147995,106.42802
vie,Subs16,-118.36371,100.86317
ukr,Subs16,-104.48016,105.32855
mal,Subs16,-94.748657,128.10983
epo,Subs16,-97.765244,106.16578
swe,Subs16,-85.542282,106.89095
hun,Subs16,-92.310654,116.59912
isl,Subs16,-94.131874,104.29054
mkd,Subs16,-93.231705,102.35647
ell,Subs18,-97.153114,106.03255
est,Subs18,-93.058243,107.0463
pes,Subs18,-115.21323,102.73589
nld,Subs18,-92.569069,103.71736
glg,Subs18,-97.095535,103.41553
sin,Subs18,-105.30762,106.10353
bos,Subs18,-96.604393,107.51109
lit,Subs18,-90.614861,109.41608
ces,Subs18,-97.43364,106.50503
mal,Subs18,-95.954399,126.67212
kor,Subs18,-96.098976,118.18472
tur,Subs18,-92.855049,116.07343
lav,Subs18,-90.87944,110.09102
bul,Subs18,-92.457291,106.43757
slk,Subs18,-98.517769,106.35072
ukr,Subs18,-103.40189,105.55044
heb,Subs18,-95.223969,109.13065
por,Subs18,-94.362381,99.979797
spa,Subs18,-100.08155,101.27918
slv,Subs18,-88.379189,106.34212
mkd,Subs18,-93.636566,102.73855
isl,Subs18,-95.916649,104.18128
eng,Subs18,-100,100
arb,Subs18,-107.69792,115.07123
vie,Subs18,-117.34634,101.47533
kat,Subs18,-96.074432,108.57986
jpn,Subs18,-107.65997,102.49857
hin,Subs18,-114.26654,96.847771
fin,Subs18,-77.877739,115.98897
nob,Subs18,-85.75293,105.15838
hun,Subs18,-92.399063,116.45991
rus,Subs18,-98.980965,107.87998
ron,Subs18,-102.93226,102.25471
deu,Subs18,-99.469307,100.84528
ind,Subs18,-89.734566,104.2348
epo,Subs18,-99.261017,106.03648
fra,Subs18,-98.285561,99.365852
eus,Subs18,-86.113144,105.16093
ben,Subs18,-104.97359,104.35034
aln,Subs18,-103.30158,104.36366
ita,Subs18,-101.12827,99.216385
dan,Subs18,-86.78421,105.4754
cat,Subs18,-100.45473,99.443932
pol,Subs18,-90.307869,109.2935
zsm,Subs18,-90.646423,102.38061
swe,Subs18,-85.084137,107.067
pol,TED,-93.48188,113.11199
fra,TED,-109.68162,97.058144
nld,TED,-97.07695,105.17458
pes,TED,-131.71094,98.522415
por,TED,-102.01954,98.402344
deu,TED,-102.16468,104.12669
cmn,TED,-108.42931,102.21204
rus,TED,-101.27676,108.72879
ita,TED,-102.98847,98.713806
arb,TED,-107.14194,114.50437
ron,TED,-106.91034,103.03153
tur,TED,-93.714539,122.98805
spa,TED,-101.32498,100.44877
eng,TED,-100,100
ita,Tatoeba,-104.92961,104.34955
fra,Tatoeba,-112.13203,99.894402
rus,Tatoeba,-99.403824,116.74425
tur,Tatoeba,-91.724342,124.47618
spa,Tatoeba,-103.49638,104.17294
heb,Tatoeba,-94.758659,119.39725
eng,Tatoeba,-100,100
por,Tatoeba,-103.29245,102.5079
epo,Tatoeba,-98.332901,109.68896
jpn,Tatoeba,-133.07745,103.5063
rus,UN,-108.14354,100.4705
fra,UN,-116.90073,98.75132
eng,UN,-100,100
deu,UN,-98.312386,101.18381
cmn,UN,-103.18108,103.63406
arb,UN,-112.37345,101.28726
spa,UN,-115.63663,100.26906
